,reward,bias,sampling,participant,choice_herf,reward_var
0,identical,no,select,1,0.33624999999999994,24.200981385059574
1,identical,no,select,2,0.14249999999999996,35.0954056822257
2,identical,no,select,3,0.0,17.320508075688775
3,identical,no,select,4,0.6775,38.141185089087095
4,identical,no,select,5,0.47625000000000006,9.246621004453464
5,identical,no,meet,6,0.75,12.05197079319395
6,identical,no,meet,7,0.75,10.27131929208707
7,identical,no,meet,8,0.75,4.763139720814412
8,identical,no,select,9,0.0,39.40415587219196
9,identical,no,meet,10,0.75,14.669270602180601
10,identical,no,meet,11,0.75,8.2915619758885
11,identical,no,select,12,0.7362500000000001,0.4330127018922193
12,identical,no,meet,13,0.75,17.311484627264065
13,identical,no,meet,14,0.75,0.0
14,identical,no,select,15,0.66375,37.298625980054545
15,identical,no,meet,16,0.75,2.48746859276655
16,identical,no,meet,17,0.75,11.180339887498949
17,identical,no,select,18,0.53125,40.0
18,identical,no,select,19,0.7474999999999999,11.92424001771182
19,identical,no,select,20,0.73,3.112474899497183
20,identical,no,select,21,0.7424999999999999,25.33155147242269
21,identical,no,select,22,0.59375,14.411367041332339
22,identical,no,meet,23,0.75,3.640054944640259
23,identical,no,select,24,0.71625,28.696689704563486
24,identical,no,select,25,0.67125,5.0
25,identical,no,meet,26,0.75,8.2915619758885
26,identical,no,meet,27,0.75,1.5811388300841898
27,identical,no,meet,28,0.75,0.4330127018922193
28,identical,no,select,29,0.30625000000000013,31.917863337009262
29,identical,no,meet,30,0.75,4.815340071064556
30,identical,no,select,31,0.70375,12.577261228105266
31,identical,no,meet,32,0.75,5.0
32,identical,no,select,33,0.64125,19.20286436967152
33,identical,no,select,34,0.70375,25.98076211353316
34,identical,no,meet,35,0.75,0.4330127018922193
35,identical,no,meet,36,0.75,8.073877630977572
36,identical,no,meet,37,0.75,12.295832627357937
37,identical,no,select,38,0.5575000000000001,18.45941494197473
38,identical,no,select,39,0.6825,13.970952007647869
39,identical,no,select,40,0.74875,20.958291915134687
40,identical,no,meet,41,0.75,5.431390245600108
41,identical,no,select,42,0.7262500000000001,1.7320508075688772
42,identical,no,select,43,0.0,17.320508075688775
43,identical,no,select,44,0.65875,9.41740410091868
44,identical,no,select,45,0.745,2.165063509461097
45,identical,no,meet,46,0.75,0.0
46,identical,no,meet,47,0.75,7.46240577829965
47,identical,no,select,48,0.0,30.74390183434757
48,identical,no,meet,49,0.75,0.0
49,identical,no,meet,50,0.75,0.0
50,identical,no,select,51,0.73125,14.044571905188139
51,identical,no,select,52,0.7474999999999999,0.0
52,identical,no,select,53,0.7175,17.320508075688775
53,identical,no,select,54,0.62625,30.483602149352365
54,identical,no,meet,55,0.75,13.534677683639163
55,identical,no,select,56,0.74125,0.8660254037844386
56,identical,no,meet,57,0.75,10.307764064044152
57,identical,no,select,58,0.18625000000000003,0.0
58,identical,no,select,59,0.6287499999999999,8.166241485530538
59,identical,no,meet,60,0.75,10.871407452579449
60,identical,no,select,61,0.72875,13.124404748406688
61,identical,no,meet,62,0.75,3.4641016151377544
62,identical,no,select,63,0.74875,5.408326913195984
63,identical,no,select,64,0.0,41.569219381653056
64,identical,no,select,65,0.0,10.825317547305483
65,identical,no,select,66,0.605,17.320508075688775
66,identical,no,meet,67,0.75,0.0
67,identical,no,meet,68,0.75,4.330127018922194
68,identical,no,meet,69,0.75,19.085334683992315
69,identical,no,select,70,0.74125,3.5355339059327378
70,identical,no,select,71,0.49124999999999996,20.988091861815356
71,identical,no,meet,72,0.75,5.0
72,identical,no,meet,73,0.75,3.6314597615834874
73,identical,no,meet,74,0.75,2.48746859276655
74,identical,no,select,75,0.73125,14.956186011146023
75,identical,no,meet,76,0.75,7.327175444876422
76,identical,no,select,77,0.7437499999999999,21.787324296480282
77,identical,no,select,78,0.68875,10.5
78,identical,no,select,79,0.0,33.77499074759311
79,identical,no,select,80,0.49624999999999997,16.96135312998347
80,identical,no,meet,81,0.75,2.179449471770337
81,identical,no,meet,82,0.75,6.96419413859206
82,identical,no,meet,83,0.75,7.39509972887452
83,identical,no,meet,84,0.75,5.0
84,identical,no,meet,85,0.75,8.2915619758885
85,identical,no,select,86,0.4337500000000001,2.5860201081971503
86,identical,no,select,87,0.74875,6.123724356957945
87,identical,no,select,88,0.75,8.257572282456872
88,identical,no,select,89,0.22750000000000004,36.29307785239494
89,identical,no,meet,90,0.75,2.277608394786075
90,identical,no,meet,91,0.75,4.330127018922194
91,identical,no,meet,92,0.75,4.330127018922194
92,identical,no,select,93,0.74875,3.031088913245535
93,identical,no,meet,94,0.75,8.660254037844387
94,identical,no,select,95,0.6074999999999999,14.737282653189496
95,identical,no,meet,96,0.75,14.446020213193666
96,identical,no,select,97,0.14249999999999996,31.468237955119125
97,identical,no,select,98,0.5687500000000001,25.98076211353316
98,identical,no,meet,99,0.75,14.603081866510234
99,identical,no,select,100,0.0,43.30127018922193
100,identical,yes,select,101,0.69875,1.7320508075688772
101,identical,yes,meet,102,0.75,5.024937810560445
102,identical,yes,select,103,0.04875000000000007,27.84331158465171
103,identical,yes,select,104,0.31999999999999984,40.5670740872447
104,identical,yes,meet,105,0.75,7.917543811056558
105,identical,yes,meet,106,0.75,12.152674602736633
106,identical,yes,meet,107,0.75,4.06201920231798
107,identical,yes,meet,108,0.75,5.629165124598851
108,identical,yes,meet,109,0.75,7.3824115301167
109,identical,yes,meet,110,0.75,11.779218989389747
110,identical,yes,select,111,0.63875,31.81980515339464
111,identical,yes,select,112,0.0,32.79481666361317
112,identical,yes,select,113,0.0,39.58771905528279
113,identical,yes,meet,114,0.75,11.388041973930374
114,identical,yes,meet,115,0.75,30.331501776206203
115,identical,yes,select,116,0.7050000000000001,13.442005058770064
116,identical,yes,select,117,0.4949999999999999,40.0
117,identical,yes,meet,118,0.75,4.330127018922194
118,identical,yes,select,119,0.74125,10.319883720275147
119,identical,yes,select,120,0.7225,2.1213203435596424
120,identical,yes,meet,121,0.75,13.863170633011771
121,identical,yes,select,122,0.7112499999999999,12.871965661856
122,identical,yes,select,123,0.7112499999999999,9.093266739736606
123,identical,yes,select,124,0.6612499999999999,2.165063509461097
124,identical,yes,select,125,0.0,33.61082414937188
125,identical,yes,select,126,0.545,32.93459427410637
126,identical,yes,meet,127,0.75,0.5
127,identical,yes,meet,128,0.75,4.330127018922194
128,identical,yes,meet,129,0.75,35.35533905932738
129,identical,yes,meet,130,0.75,7.084313657652377
130,identical,yes,select,131,0.57,25.406692031825003
131,identical,yes,select,132,0.54125,29.201883500897676
132,identical,yes,select,133,0.7112499999999999,10.231690964840562
133,identical,yes,meet,134,0.75,5.5901699437494745
134,identical,yes,meet,135,0.75,5.261891294962297
135,identical,yes,select,136,0.0,30.95157508108432
136,identical,yes,select,137,0.5462499999999999,13.838352503098047
137,identical,yes,select,138,0.7250000000000001,18.371173070873837
138,identical,yes,select,139,0.0,9.630680142129112
139,identical,yes,select,140,0.6812499999999999,20.310096011589902
140,identical,yes,select,141,0.48875,37.5
141,identical,yes,meet,142,0.75,4.031128874149275
142,identical,yes,meet,143,0.75,1.479019945774904
143,identical,yes,select,144,0.625,26.808347580557815
144,identical,yes,select,145,0.14125,34.71581051912803
145,identical,yes,select,146,0.65875,11.92424001771182
146,identical,yes,select,147,0.47875,19.070592544543548
147,identical,yes,meet,148,0.75,28.394541729001368
148,identical,yes,meet,149,0.75,13.311179511974137
149,identical,yes,select,150,0.6287499999999999,11.583932838203095
150,identical,yes,select,151,0.375,37.5
151,identical,yes,meet,152,0.75,7.158910531638177
152,identical,yes,meet,153,0.75,6.684870978560469
153,identical,yes,select,154,0.74875,0.0
154,identical,yes,meet,155,0.75,2.5
155,identical,yes,select,156,0.74875,0.0
156,identical,yes,meet,157,0.75,23.339880033967614
157,identical,yes,select,158,0.0,25.8602010819715
158,identical,yes,meet,159,0.75,10.712142642814275
159,identical,yes,meet,160,0.75,8.671072598012312
160,identical,yes,meet,161,0.75,21.754309917807092
161,identical,yes,select,162,0.7237499999999999,26.54595072699413
162,identical,yes,meet,163,0.75,2.0615528128088303
163,identical,yes,meet,164,0.75,4.330127018922194
164,identical,yes,select,165,0.74625,3.774917217635375
165,identical,yes,meet,166,0.75,0.0
166,identical,yes,meet,167,0.75,16.068213964221414
167,identical,yes,select,168,0.45499999999999996,33.10966626228661
168,identical,yes,meet,169,0.75,0.0
169,identical,yes,select,170,0.0,27.04163456597992
170,identical,yes,select,171,0.28875000000000006,33.726843908080106
171,identical,yes,select,172,0.74875,18.371173070873837
172,identical,yes,meet,173,0.75,24.264171117101856
173,identical,yes,select,174,0.64125,24.072806234421446
174,identical,yes,select,175,0.68875,15.041608956491324
175,identical,yes,select,176,0.7212500000000001,12.336429791475327
176,identical,yes,meet,177,0.75,13.019216566291536
177,identical,yes,meet,178,0.75,17.698870020427858
178,identical,yes,select,179,0.745,0.0
179,identical,yes,meet,180,0.75,10.897247358851684
180,identical,yes,meet,181,0.75,1.299038105676658
181,identical,yes,meet,182,0.75,10.96300597464035
182,identical,yes,select,183,0.7075,4.6097722286464435
183,identical,yes,meet,184,0.75,8.660254037844387
184,identical,yes,meet,185,0.75,14.922717580923388
185,identical,yes,select,186,0.70375,27.386127875258307
